# Kaynak: hermitdave/FrequencyWords, OpenSubtitles 2018 tr — CC BY-SA 4.0. Sütunlar: kelime, sayı, sıra
eminim	82332	309
nereden	81257	310
ihtiyacım	80402	311
etti	80372	312
dışarı	80159	313
beri	80091	314
gitti	79777	315
yalan	79736	316
edin	79480	317
bakın	79373	318
yalnız	79314	319
gördüm	78932	320
değildi	78676	321
polis	78667	322
merak	78206	323
erkek	77096	324
görüşürüz	77007	325
dün	76905	326
ah	76747	327
haber	76328	328
la	76201	329
musunuz	75977	330
babam	75779	331
gidiyor	75087	332
yi	74018	333
olmuş	72767	334
akşam	72695	335
den	72034	336
geçen	71871	337
sakin	71858	338
ha	71815	339
sanki	71595	340
beş	70969	341
karar	70950	342
nefret	70932	343
sabah	70717	344
dikkat	70717	345
yaptım	70604	346
veya	70482	347
umarım	70248	348
yerine	69773	349
çabuk	68856	350
etme	68767	351
olması	68682	352
farklı	68674	353
değilsin	68665	354
ay	68373	355
sonunda	68140	356
istediğim	68034	357
gördün	67880	358
ettim	67659	359
sence	67460	360
fark	67415	361
üzerinde	67244	362
aptal	67135	363
kendimi	66534	364
tamamen	66164	365
oldukça	65993	366
su	65882	367
işin	65870	368
boyunca	65755	369
kendine	65749	370
tarafından	65687	371
yeter	65627	372
dünya	65608	373
u	65580	374
yı	65560	375
olduğumu	65408	376
bunları	65155	377
vardır	64796	378
öldü	64674	379
olursa	64443	380
iyiyim	64337	381
açık	64125	382
neyse	63987	383
annem	63791	384
kes	63391	385
adı	62958	386
yaptın	62631	387
yap	62569	388
hangi	62465	389
olamaz	62199	390
ancak	62169	391
söyledim	62146	392
görünüyor	62107	393
dört	62102	394
yüzünden	61800	395
aldım	61666	396
olsa	61421	397
birşey	61182	398
birisi	61155	399
be	60951	400
yoktu	60608	401
kolay	60499	402
dolar	60368	403
dedi	59889	404
sahip	59627	405
ise	59454	406
olmadığını	59391	407
yanında	59387	408
halde	59277	409
gelecek	59223	410
adamı	59220	411
bende	59150	412
buldum	59131	413
yol	59033	414
geldim	58907	415
bazen	58870	416
konuşmak	58797	417
başına	58708	418
gitmek	58441	419
anlıyorum	58396	420
beraber	58344	421
henüz	58238	422
yapıyor	58222	423
yolu	58171	424
bitti	58061	425
onların	57905	426
cevap	57869	427
evde	57618	428
yardımcı	57586	429
zamanı	57340	430
almak	57127	431
konusunda	56849	432
genç	56750	433
oldum	56510	434
nun	56404	435
takip	56330	436
kal	56119	437
öyleyse	56006	438
kahretsin	55826	439
durum	55826	440
tabi	55745	441
günü	55643	442
ateş	55608	443
istedim	55547	444
adamın	55406	445
muhtemelen	55358	446
adım	55354	447
söylemek	54888	448
azından	54869	449
düşündüm	54770	450
le	54619	451
yaptı	54490	452
neredeyse	54473	453
eder	54264	454
olun	54107	455
yeniden	53896	456
düşünüyorsun	53887	457
ciddi	53882	458
vay	53598	459
herhangi	53421	460
ev	53316	461
hızlı	53304	462
sanmıyorum	53057	463
süre	53020	464
altında	52893	465
mükemmel	52844	466
göz	52835	467
kan	52822	468
düşünüyorum	52751	469
ara	52716	470
boş	52689	471
miyiz	52519	472
konuda	51996	473
duydum	51804	474
oğlum	51767	475
şeyin	51627	476
uzak	51600	477
gelen	51533	478
aç	51511	479
hayatta	51492	480
çıktı	50904	481
sakın	50689	482
saniye	50552	483
yakın	50494	484
anladım	50460	485
garip	50386	486
çeviri	50095	487
john	50076	488
hayal	49991	489
olduğuna	49925	490
insanların	49815	491
on	49749	492
arada	49651	493
gidiyorum	49485	494
araba	49407	495
çalışıyorum	49274	496
jack	49036	497
söylüyor	49035	498
sürü	48961	499
hepimiz	48871	500
ikinci	48777	501
kaldı	48756	502
galiba	48488	503
canım	48478	504
hayatım	48475	505
rahat	48389	506
kimin	48323	507
alo	48273	508
olacağım	47953	509
güçlü	47859	510
savaş	47850	511
verdi	47704	512
ta	47616	513
ortaya	47586	514
şeye	47494	515
bebeğim	47464	516
başladı	47159	517
dersin	47029	518
gelip	47009	519
hayat	46946	520
bilirsin	46756	521
çalışıyor	46686	522
durumda	46378	523
hatta	46306	524
geldin	46248	525
yaptığını	46234	526
sende	46076	527
olay	45917	528
şeyleri	45862	529
ihtiyacı	45806	530
adamım	45783	531
kesin	45766	532
arasında	45627	533
arkadaşım	45375	534
hareket	45292	535
altı	45279	536
bebek	45204	537
kardeşim	45110	538
çocuğu	45104	539
silah	45096	540
böylece	45002	541
acaba	45000	542
sürekli	44894	543
bin	44879	544
haklısın	44831	545
soru	44830	546
olmadan	44739	547
hava	44679	548
terk	44561	549
olacağını	44488	550
yapacağım	44472	551
gelir	44387	552
varsa	44345	553
komik	44323	554
kısa	44315	555
aynen	44246	556
etmeye	44215	557
üzerine	44130	558
evlat	44104	559
el	44031	560
zarar	43956	561
şaka	43880	562
birinin	43868	563
güle	43782	564
gizli	43770	565
içine	43705	566
zamanda	43610	567
siktir	43585	568
daki	43530	569
acele	43524	570
telefon	43503	571
ait	43446	572
oyun	43416	573
istersen	43310	574
kızı	43279	575
şuna	43246	576
diyorsun	43197	577
yeterince	42925	578
verdim	42764	579
istediğin	42616	580
geçti	42329	581
baban	42300	582
olmayacak	42255	583
dışında	42206	584
yolunda	42203	585
hepsini	42168	586
uygun	42095	587
dans	42093	588
günaydın	41743	589
kapıyı	41738	590
olurdu	41612	591
tuhaf	41553	592
memnun	41528	593
hissediyorum	41455	594
fikir	41408	595
yüksek	41306	596
new	41284	597
olmadı	41232	598
beyler	41176	599
tür	41093	600
verin	40909	601
değildir	40896	602
korkunç	40818	603
rahatsız	40784	604
gidiyoruz	40661	605
işler	40393	606
gerektiğini	40382	607
geceler	40337	608
aldı	40252	609
gidiyorsun	40221	610
kere	40054	611
sanıyordum	39969	612
eden	39958	613
gelin	39879	614
veriyorum	39753	615
edecek	39695	616
beyaz	39657	617
yaşlı	39652	618
mümkün	39584	619
neyi	39568	620
istediğini	39544	621
dolu	39530	622
ihtiyacın	39463	623
çıkar	39388	624
ölüm	39239	625
sensin	39204	626
nasılsın	39131	627
bilmek	39123	628
belli	39030	629
sanıyorsun	39013	630
sevindim	39003	631
yakında	38906	632
varmış	38894	633
tahmin	38742	634
sam	38735	635
herif	38681	636
durun	38564	637
parayı	38557	638
şöyle	38546	639
yalnızca	38541	640
vermek	38475	641
biliyordum	38352	642
ediyorsun	38326	643
ihtiyacımız	38251	644
acı	38229	645
yapamam	38137	646
mısınız	37988	647
yapmaya	37897	648
neydi	37820	649
hasta	37567	650
üzere	37546	651
yapacağız	37517	652
güvenlik	37462	653
istedi	37429	654
insanları	37358	655
çeneni	37268	656
inanamıyorum	37183	657
berbat	37100	658
annen	37099	659
bizimle	37063	660
geliyorum	37053	661
yapacak	36835	662
dair	36833	663
başkan	36795	664
dedin	36744	665
neyin	36742	666
sizinle	36626	667
dikkatli	36548	668
anladın	36443	669
yapıyorum	36397	670
olmayan	36273	671
ölü	36228	672
aile	36215	673
bırakın	36148	674
birine	36113	675
tatlı	35833	676
deli	35820	677
milyon	35783	678
normal	35712	679
söyledin	35709	680
dışarıda	35701	681
diyorum	35630	682
sefer	35423	683
olup	35299	684
pardon	35234	685
otur	35167	686
yemin	35161	687
içki	35147	688
ana	35138	689
te	35119	690
keşke	35104	691
ettin	35028	692
dünyanın	34706	693
iç	34629	694
şans	34607	695
baş	34516	696
affedersiniz	34512	697
evine	34506	698
biliyoruz	34334	699
aşağı	34314	700
isterim	34263	701
yeri	34156	702
millet	34077	703
aşk	34017	704
bununla	33957	705
çık	33955	706
kapa	33936	707
miydi	33894	708
at	33809	709
durumu	33744	710
bilmem	33736	711
arkadaş	33703	712
kendisi	33683	713
herkesin	33600	714
kusura	33581	715
doğum	33486	716
yapar	33477	717
charlie	33449	718
yaşında	33293	719
michael	33257	720
herhalde	33235	721
cidden	33183	722
oradan	33163	723
the	33111	724
kahve	33002	725
hata	32946	726
seks	32861	727
kızlar	32851	728
kaptan	32781	729
yavaş	32747	730
alıp	32724	731
bakma	32695	732
hayatını	32674	733
dek	32572	734
yeterli	32570	735
mıydı	32394	736
zamandır	32310	737
asıl	32290	738
bunların	32262	739
hoşça	32220	740
önünde	32217	741
sessiz	32031	742
kızım	32025	743
frank	31997	744
erken	31960	745
aldın	31932	746
york	31910	747
sıcak	31832	748
tehlikeli	31799	749
amerika	31798	750
düşünüyor	31764	751
dön	31726	752
bilgi	31667	753
getir	31655	754
işim	31633	755
güç	31592	756
hak	31587	757
ufak	31536	758
buradayım	31505	759
bilmiyor	31503	760
cinayet	31458	761
diyor	31422	762
gelmiş	31405	763
üstüne	31402	764
mesaj	31358	765
nefes	31345	766
işini	31265	767
evi	31219	768
ele	31164	769
birçok	31155	770
olmasını	31106	771
yüz	31104	772
basit	30979	773
yukarı	30976	774
çek	30950	775
olduğum	30941	776
köpek	30939	777
duydun	30921	778
edeceğim	30912	779
gayet	30817	780
inanılmaz	30776	781
şarkı	30751	782
tıpkı	30724	783
benziyor	30704	784
anlaşıldı	30658	785
müzik	30595	786
olduğun	30546	787
bulmak	30543	788
söylüyorum	30527	789
kızın	30522	790
vakit	30495	791
n	30485	792
yıldır	30472	793
görüyorum	30440	794
haklı	30399	795
ses	30398	796
olsaydı	30376	797
sonraki	30361	798
konu	30346	799
ikimiz	30345	800
almaya	30334	801
aşık	30309	802
